Date	Month	Channel	Owner	Brand	Pack Size	Pack Type	SKU	Price Tier	Unit Sales	Sales Value	Distribution	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change
1/3/2015	Jan-15	2950  BABY RUTH LN	RESIDENTIAL CONDO	19	ANTIOCH	1/3/2015	1	Jan	109.9	2015	8	109900	109.9	20150108-0002081	No	No	0.1099							
1/4/2015	Jan-15	4913  KENTUCKY AVE	SINGLE FAMILY		NASHVILLE	1/4/2015	1	Jan	200	2015	3	200000	200	20150209-0011756	No	No	0.2							
1/5/2015	Jan-15	5148  VILLAGE TRCE	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	164.9	2015	1	164900	164.9	20150107-0001620	No	No	0.1649							
1/5/2015	Jan-15	5600  COUNTRY DR	RESIDENTIAL CONDO	109	NASHVILLE	1/5/2015	1	Jan	110	2015	1	110000	110	20150107-0001763	No	No	0.11							
1/5/2015	Jan-15	4736  POTOMAC LN	SINGLE FAMILY		BRENTWOOD	1/5/2015	1	Jan	315	2015	1	315000	315	20150114-0004002	No	No	0.315							
1/5/2015	Jan-15	3201  COBBLE ST	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	230	2015	1	230000	230	20150105-0001036	No	No	0.23							
1/5/2015	Jan-15	7003  LENOX VILLAGE DR	RESIDENTIAL CONDO	11	NASHVILLE	1/5/2015	1	Jan	126.9	2015	1	126900	126.9	20150108-0002309	No	No	0.1269							
1/5/2015	Jan-15	205  NEWTON NOOK	SINGLE FAMILY		BRENTWOOD	1/5/2015	1	Jan	356.5	2015	1	356500	356.5	20150106-0001280	No	No	0.3565							
1/5/2015	Jan-15	2313  SOMERSET VALLEY DR	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	229	2015	1	229000	229	20150108-0002084	No	No	0.229							
1/5/2015	Jan-15	6996  CALDERWOOD DR	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	208.25	2015	1	208250	208.25	20150108-0001996	No	No	0.20825							
1/5/2015	Jan-15	827 HILLVIEW HTS	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	339.5	2015	2	339500	339.5	20150106-0001452	No	No	0.3395							
1/5/2015	Jan-15	824  KIRKWOOD AVE	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	615	2015	2	615000	615	20150107-0001574	No	No	0.615							
1/5/2015	Jan-15	2804 B  VAULX LN	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	535	2015	2	535000	535	20150108-0002296	No	No	0.535							
1/5/2015	Jan-15	207  WESTFIELD DR	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	116	2015	2	116000	116	20150107-0001622	No	No	0.116							
1/5/2015	Jan-15	6521  JOCELYN HOLLOW RD	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	539	2015	2	539000	539	20150108-0002106	No	No	0.539							
1/5/2015	Jan-15	6666  BROOKMONT TER	RESIDENTIAL CONDO	205	NASHVILLE	1/5/2015	1	Jan	86	2015	2	86000	86	20150107-0001667	No	No	0.086							
1/5/2015	Jan-15	821  GENERAL GEORGE PATTON RD	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	224.4	2015	2	224400	224.4	20150107-0001615	No	No	0.2244							
1/5/2015	Jan-15	1001  BEECH BEND DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	189	2015	2	189000	189	20150107-0001746	No	No	0.189							
1/5/2015	Jan-15	693  PARK ST	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	209	2015	3	209000	209	20150107-0001808	No	No	0.209							
1/5/2015	Jan-15	6015 CALIFORNIA AVE	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	130	2015	3	130000	130	20150106-0001380	Yes	No	0.13							
1/5/2015	Jan-15	6013 CALIFORNIA AVE	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	130	2015	3	130000	130	20150106-0001375	Yes	No	0.13							
1/5/2015	Jan-15	5510  PENNSYLVANIA AVE	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	80	2015	3	80000	80	20150107-0001587	No	No	0.08							
1/5/2015	Jan-15	7277  CHARLOTTE PIKE	RESIDENTIAL CONDO	208	NASHVILLE	1/5/2015	1	Jan	179	2015	3	179000	179	20150114-0004064	No	No	0.179							
1/5/2015	Jan-15	7529  WATERVALE DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	285	2015	3	285000	285	20150108-0002137	No	No	0.285							
1/5/2015	Jan-15	1204  CREST MONT CT	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	274	2015	5	274000	274	20150106-0001284	No	No	0.274							
1/5/2015	Jan-15	3795  WILLOW CREEK RD	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	152.5	2015	5	152500	152.5	20150112-0003215	No	No	0.1525							
1/5/2015	Jan-15	707  DELAWARE AVE	SINGLE FAMILY		MADISON	1/5/2015	1	Jan	120	2015	6	120000	120	20150109-0002487	No	No	0.12							
1/5/2015	Jan-15	718  CARMEL AVE	SINGLE FAMILY		MADISON	1/5/2015	1	Jan	55	2015	6	55000	55	20150106-0001161	No	No	0.055							
1/5/2015	Jan-15	2911  MORNINGSIDE DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	140	2015	6	140000	140	20150109-0002348	No	No	0.14							
1/5/2015	Jan-15	1517  MOHAWK TRL	SINGLE FAMILY		MADISON	1/5/2015	1	Jan	110	2015	6	110000	110	20150108-0001957	No	No	0.11							
1/5/2015	Jan-15	1519  WAYNE DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	167.5	2015	6	167500	167.5	20150112-0002776	Yes	No	0.1675							
1/5/2015	Jan-15	1905  DEMARIUS DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	207.5	2015	6	207500	207.5	20150107-0001644	No	No	0.2075							
1/5/2015	Jan-15	926  WOODLAND ST	RESIDENTIAL CONDO	308	NASHVILLE	1/5/2015	1	Jan	193	2015	6	193000	193	20150107-0001863	No	No	0.193							
1/5/2015	Jan-15	1415  PRESTON DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	154.5	2015	6	154500	154.5	20150105-0001026	No	No	0.1545							
1/5/2015	Jan-15	1414  ORDWAY PL	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	270.58	2015	6	270580	270.58	20150107-0001842	No	No	0.27058							
1/5/2015	Jan-15	1003  DEW ST	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	375	2015	6	375000	375	20150108-0002109	No	No	0.375							
1/5/2015	Jan-15	4529  HAWTHORN DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	200	2015	7	200000	200	20150212-0012984	No	No	0.2							
1/5/2015	Jan-15	2219  PENNINGTON BEND RD	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	332.613	2015	7	332613	332.613	20150106-0001403	No	No	0.332613							
1/5/2015	Jan-15	132  SADDLE TREE CT	RESIDENTIAL CONDO		HERMITAGE	1/5/2015	1	Jan	107	2015	7	107000	107	20150108-0002174	No	No	0.107							
1/5/2015	Jan-15	4108  MEADOWGREEN DR	SINGLE FAMILY		OLD HICKORY	1/5/2015	1	Jan	169	2015	7	169000	169	20150109-0002540	No	No	0.169							
1/5/2015	Jan-15	139  GENERAL JACKSON LN	RESIDENTIAL CONDO	2	HERMITAGE	1/5/2015	1	Jan	82.5	2015	7	82500	82.5	20150114-0003930	No	No	0.0825							
1/5/2015	Jan-15	213  CUMBERLAND TRCE	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	115	2015	7	115000	115	20150107-0001658	No	No	0.115							
1/5/2015	Jan-15	231  COTTAGE PL	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	124.9	2015	7	124900	124.9	20150106-0001214	No	No	0.1249							
1/5/2015	Jan-15	404  LORNA DR	SINGLE FAMILY		NASHVILLE	1/5/2015	1	Jan	132	2015	7	132000	132	20150109-0002524	No	No	0.132							
1/5/2015	Jan-15	639  LONGHUNTER CT	RESIDENTIAL CONDO		NASHVILLE	1/5/2015	1	Jan	68	2015	8	68000	68	20150106-0001317	No	No	0.068							
1/5/2015	Jan-15	1212  CANYON RIDGE CT	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	172.94	2015	8	172940	172.94	20150107-0001845	No	No	0.17294							
1/5/2015	Jan-15	5128  PEBBLE CREEK DR	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	157	2015	8	157000	157	20150107-0001699	No	No	0.157							
1/5/2015	Jan-15	2704  WINDCREST TRL	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	154	2015	8	154000	154	20150107-0001735	No	No	0.154							
1/5/2015	Jan-15	4121  PINEORCHARD PL	SINGLE FAMILY		ANTIOCH	1/5/2015	1	Jan	172	2015	8	172000	172	20150106-0001246	No	No	0.172							
1/5/2015	Jan-15	500  MADISON ST	RESIDENTIAL CONDO	105	NASHVILLE	1/5/2015	1	Jan	200	2015	9	200000	200	20150107-0001560	No	No	0.2							
1/5/2015	Jan-15	178  2ND AVE N	RESIDENTIAL CONDO	107	NASHVILLE	1/5/2015	1	Jan	275	2015	9	275000	275	20150109-0002631	No	No	0.275							
1/5/2015	Jan-15	301  DEMONBREUN ST	RESIDENTIAL CONDO	1216	NASHVILLE	1/5/2015	1	Jan	463	2015	9	463000	463	20150109-0002652	No	No	0.463							
1/6/2015	Jan-15	114  ROSE ST	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	183.572	2015	1	183572	183.572	20150112-0002939	No	No	0.183572							
1/6/2015	Jan-15	3808  BUNNY DR	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	138	2015	1	138000	138	20150127-0007610	No	No	0.138							
1/6/2015	Jan-15	5622  VALLEY VIEW RD	SINGLE FAMILY		BRENTWOOD	1/6/2015	1	Jan	323.5	2015	1	323500	323.5	20150120-0005537	No	No	0.3235							
1/6/2015	Jan-15	5108  META CT	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	204	2015	1	204000	204	20150108-0001869	No	No	0.204							
1/6/2015	Jan-15	4951  KAREN RAY DR	SINGLE FAMILY		ANTIOCH	1/6/2015	1	Jan	127.9	2015	1	127900	127.9	20150116-0004661	No	No	0.1279							
1/6/2015	Jan-15	1505  SIMPSON CT	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	378	2015	1	378000	378	20150113-0003359	No	No	0.378							
1/6/2015	Jan-15	804  NEARTOP DR	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	290	2015	2	290000	290	20150109-0002624	No	No	0.29							
1/6/2015	Jan-15	5608  KENTUCKY AVE	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	85	2015	3	85000	85	20150114-0003795	No	No	0.085							
1/6/2015	Jan-15	5308  PENNSYLVANIA AVE	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	137.5	2015	3	137500	137.5	20150107-0001721	No	No	0.1375							
1/6/2015	Jan-15	7045  BRIDGEPORT DR	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	225	2015	3	225000	225	20150108-0002204	No	No	0.225							
1/6/2015	Jan-15	7336  RIVERFRONT DR	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	330	2015	3	330000	330	20150107-0001665	No	No	0.33							
1/6/2015	Jan-15	612  CENTER ST	DUPLEX		MADISON	1/6/2015	1	Jan	30	2015	6	30000	30	20150108-0002064	No	No	0.03							
1/6/2015	Jan-15	816  BERWICK TRL	SINGLE FAMILY		MADISON	1/6/2015	1	Jan	280	2015	6	280000	280	20150108-0002059	No	No	0.28							
1/6/2015	Jan-15	917  SHARPE AVE	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	95.252	2015	6	95252	95.252	20150109-0002344	No	No	0.095252							
1/6/2015	Jan-15	2636  HIBBITTS RD	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	151.965	2015	7	151965	151.965	20150109-0002536	No	No	0.151965							
1/6/2015	Jan-15	2715  LAKELAND DR	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	150	2015	7	150000	150	20150120-0005334	No	No	0.15							
1/6/2015	Jan-15	763  FITZPATRICK RD	SINGLE FAMILY		NASHVILLE	1/6/2015	1	Jan	265	2015	8	265000	265	20150113-0003463	No	No	0.265							
1/6/2015	Jan-15	308  SCHOOLHOUSE CT	SINGLE FAMILY		ANTIOCH	1/6/2015	1	Jan	161	2015	8	161000	161	20150112-0003278	No	No	0.161							
1/6/2015	Jan-15	309  SCHOOLHOUSE CT	SINGLE FAMILY		ANTIOCH	1/6/2015	1	Jan	137	2015	8	137000	137	20150112-0003277	No	No	0.137							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1112	NASHVILLE	1/6/2015	1	Jan	306.091	2015	9	306091	306.091	20150108-0002305	No	No	0.306091							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1301	NASHVILLE	1/6/2015	1	Jan	1018.187	2015	9	1018187	1018.187	20150107-0001852	No	No	1.018187							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1312	NASHVILLE	1/6/2015	1	Jan	299.199	2015	9	299199	299.199	20150107-0001840	No	No	0.299199							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1313	NASHVILLE	1/6/2015	1	Jan	530.42	2015	9	530420	530.42	20150107-0001855	No	No	0.53042							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1315	NASHVILLE	1/6/2015	1	Jan	568	2015	9	568000	568	20150107-0001853	No	No	0.568							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1601	NASHVILLE	1/6/2015	1	Jan	1016	2015	9	1016000	1016	20150107-0001857	No	No	1.016							
1/6/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1701	NASHVILLE	1/6/2015	1	Jan	1036.66	2015	9	1036660	1036.66	20150107-0001850	No	No	1.03666							
1/6/2015	Jan-15	600  12TH AVE S	RESIDENTIAL CONDO	1403	NASHVILLE	1/6/2015	1	Jan	364	2015	9	364000	364	20150121-0005959	No	No	0.364							
1/7/2015	Jan-15	1346  CROWN POINT PL	RESIDENTIAL CONDO		NASHVILLE	1/7/2015	1	Jan	195	2015	1	195000	195	20150108-0002062	No	No	0.195							
1/7/2015	Jan-15	104  PAXTON CT	SINGLE FAMILY		BRENTWOOD	1/7/2015	1	Jan	390	2015	1	390000	390	20150112-0002754	No	No	0.39							
1/7/2015	Jan-15	1002  GROVE CT	RESIDENTIAL CONDO		BRENTWOOD	1/7/2015	1	Jan	260	2015	1	260000	260	20150108-0002098	No	No	0.26							
1/7/2015	Jan-15	3718  SHANE POINT PL	RESIDENTIAL CONDO		NASHVILLE	1/7/2015	1	Jan	196	2015	1	196000	196	20150112-0003190	No	No	0.196							
1/7/2015	Jan-15	6447  SUNNYWOOD DR	SINGLE FAMILY		ANTIOCH	1/7/2015	1	Jan	215	2015	1	215000	215	20150109-0002545	No	No	0.215							
1/7/2015	Jan-15	960  MORNING RD	SINGLE FAMILY		ANTIOCH	1/7/2015	1	Jan	217.272	2015	1	217272	217.272	20150116-0004571	No	No	0.217272							
1/7/2015	Jan-15	3502  HILLSDALE AVE	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	285	2015	2	285000	285	20150112-0003139	No	No	0.285							
1/7/2015	Jan-15	2114  WESTWOOD AVE	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	560	2015	2	560000	560	20150108-0002242	No	No	0.56							
1/7/2015	Jan-15	10  INVERARAY	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	1750	2015	2	1750000	1750	20150109-0002595	No	No	1.75							
1/7/2015	Jan-15	1732  KELLOW ST	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	43	2015	3	43000	43	20150116-0004652	No	No	0.043							
1/7/2015	Jan-15	1713  11TH AVE N	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	249.9	2015	3	249900	249.9	20150108-0002207	No	No	0.2499							
1/7/2015	Jan-15	2488  WALKER LN	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	265	2015	4	265000	265	20150112-0003284	No	No	0.265							
1/7/2015	Jan-15	108  GRAYCROFT CT	SINGLE FAMILY		MADISON	1/7/2015	1	Jan	185	2015	6	185000	185	20150109-0002445	No	No	0.185							
1/7/2015	Jan-15	221  HARRIS ST	DUPLEX		MADISON	1/7/2015	1	Jan	75	2015	6	75000	75	20150109-0002497	No	No	0.075							
1/7/2015	Jan-15	421  DUE WEST AVE	SINGLE FAMILY		MADISON	1/7/2015	1	Jan	198.5	2015	6	198500	198.5	20150130-0008876	No	No	0.1985							
1/7/2015	Jan-15	1423  STAINBACK AVE	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	70.7	2015	6	70700	70.7	20150108-0002300	No	No	0.0707							
1/7/2015	Jan-15	1713  RIVERWOOD DR	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	192.875	2015	6	192875	192.875	20150109-0002564	No	No	0.192875							
1/7/2015	Jan-15	1010  JOSEPH AVE	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	167.5	2015	6	167500	167.5	20150108-0002238	No	No	0.1675							
1/7/2015	Jan-15	1118  N 2ND ST	DUPLEX		NASHVILLE	1/7/2015	1	Jan	107	2015	6	107000	107	20150121-0005991	No	No	0.107							
1/7/2015	Jan-15	500  N 18TH ST	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	439	2015	6	439000	439	20150121-0005984	No	No	0.439							
1/7/2015	Jan-15	1404  RUSSELL ST	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	265	2015	6	265000	265	20150112-0002974	No	No	0.265							
1/7/2015	Jan-15	660  GRANWOOD BLVD	SINGLE FAMILY		OLD HICKORY	1/7/2015	1	Jan	165	2015	7	165000	165	20150112-0002863	No	No	0.165							
1/7/2015	Jan-15	5200  SOUTHFORK BLVD	RESIDENTIAL CONDO		OLD HICKORY	1/7/2015	1	Jan	152	2015	7	152000	152	20150109-0002370	No	No	0.152							
1/7/2015	Jan-15	622  DES MOINES DR	SINGLE FAMILY		HERMITAGE	1/7/2015	1	Jan	134.943	2015	7	134943	134.943	20150109-0002534	No	No	0.134943							
1/7/2015	Jan-15	3905  BONNAVISTA DR	SINGLE FAMILY		HERMITAGE	1/7/2015	1	Jan	143	2015	7	143000	143	20150115-0004375	No	No	0.143							
1/7/2015	Jan-15	2206  WEONA DR	SINGLE FAMILY		NASHVILLE	1/7/2015	1	Jan	122	2015	7	122000	122	20150109-0002531	No	No	0.122							
1/7/2015	Jan-15	2733  FLEET DR	SINGLE FAMILY		HERMITAGE	1/7/2015	1	Jan	179.9	2015	7	179900	179.9	20150112-0003045	No	No	0.1799							
1/7/2015	Jan-15	2205  BUTTONQUAIL CT	SINGLE FAMILY		HERMITAGE	1/7/2015	1	Jan	227	2015	8	227000	227	20150112-0002931	No	No	0.227							
1/7/2015	Jan-15	137  N TIMBER DR	RESIDENTIAL CONDO		NASHVILLE	1/7/2015	1	Jan	90	2015	8	90000	90	20150108-0002298	No	No	0.09							
1/7/2015	Jan-15	2058  NASHBORO BLVD	RESIDENTIAL CONDO		NASHVILLE	1/7/2015	1	Jan	124.5	2015	8	124500	124.5	20150112-0003141	No	No	0.1245							
