Date	Month	Channel	Owner	Zone	Sales Value	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit
1/7/2015	15-Jan	SINGLE FAMILY	3502  HILLSDALE AVE 	2		285000	285			No
1/7/2015	15-Jan	SINGLE FAMILY	2114  WESTWOOD AVE 	2		560000	560			No
1/7/2015	15-Jan	SINGLE FAMILY	10  INVERARAY 	2		1750000	1750			No
1/7/2015	15-Jan	SINGLE FAMILY	1732  KELLOW ST 	3		43000	43			No
1/7/2015	15-Jan	SINGLE FAMILY	1713  11TH AVE N 	3		249900	249.9			No
1/7/2015	15-Jan	SINGLE FAMILY	2488  WALKER LN 	4		265000	265			No
1/7/2015	15-Jan	SINGLE FAMILY	108  GRAYCROFT CT 	6		185000	185			No
1/7/2015	15-Jan	SINGLE FAMILY	421  DUE WEST AVE 	6		198500	198.5			No
1/7/2015	15-Jan	SINGLE FAMILY	1423  STAINBACK AVE 	6		70700	70.7			No
1/7/2015	15-Jan	SINGLE FAMILY	1713  RIVERWOOD DR 	6		192875	192.875			No
1/7/2015	15-Jan	SINGLE FAMILY	1010  JOSEPH AVE 	6		167500	167.5			No
1/7/2015	15-Jan	SINGLE FAMILY	500  N 18TH ST 	6		439000	439			No
1/7/2015	15-Jan	SINGLE FAMILY	1404  RUSSELL ST 	6		265000	265			No
1/7/2015	15-Jan	SINGLE FAMILY	660  GRANWOOD BLVD 	7		165000	165			No
1/7/2015	15-Jan	SINGLE FAMILY	622  DES MOINES DR 	7		134943	134.943			No
1/7/2015	15-Jan	SINGLE FAMILY	3905  BONNAVISTA DR 	7		143000	143			No
1/7/2015	15-Jan	SINGLE FAMILY	2206  WEONA DR 	7		122000	122			No
1/7/2015	15-Jan	SINGLE FAMILY	2733  FLEET DR 	7		179900	179.9			No
1/7/2015	15-Jan	SINGLE FAMILY	2205  BUTTONQUAIL CT 	8		227000	227			No
1/7/2015	15-Jan	SINGLE FAMILY	4833  HICKORY WAY 	8		150000	150			No
1/8/2015	15-Jan	SINGLE FAMILY	653  MAGNOLIA LN 	1		255000	255			No
1/8/2015	15-Jan	SINGLE FAMILY	4346  BARNES COVE DR 	1		187000	187			No
1/8/2015	15-Jan	SINGLE FAMILY	940  ARCHER ST 	2		214000	214			No
1/8/2015	15-Jan	SINGLE FAMILY	908  MARILYN RD 	3		85000	85			No
1/8/2015	15-Jan	SINGLE FAMILY	1812  WILSON CAMP CIR 	6		145900	145.9			No
1/8/2015	15-Jan	SINGLE FAMILY	917  CHICKASAW AVE 	6		76500	76.5			No
1/8/2015	15-Jan	SINGLE FAMILY	146  PIEDMONT AVE 	6		103000	103			No
1/8/2015	15-Jan	SINGLE FAMILY	1986  UPLAND DR 	6		219000	219			No
1/8/2015	15-Jan	SINGLE FAMILY	912  MANILA AVE 	6		119000	119			No
1/8/2015	15-Jan	SINGLE FAMILY	664  GRANWOOD BLVD 	7		122000	122			No
1/8/2015	15-Jan	SINGLE FAMILY	956  COLFAX DR 	7		140000	140			No
1/9/2015	15-Jan	SINGLE FAMILY	1318  PILLOW ST 	1		160000	160			No
1/9/2015	15-Jan	SINGLE FAMILY	3225  HOLBROOK DR 	1		159900	159.9			No
1/9/2015	15-Jan	SINGLE FAMILY	405  FIELDCREST DR 	1		375000	375			No
1/9/2015	15-Jan	SINGLE FAMILY	3779  TURLEY DR 	1		119000	119			No
1/9/2015	15-Jan	SINGLE FAMILY	170  SHEILA DR 	1		139900	139.9			No
1/9/2015	15-Jan	SINGLE FAMILY	2004  STANFORD VILLAGE DR 	1		194500	194.5			No
1/9/2015	15-Jan	SINGLE FAMILY	1253  BLAIRFIELD DR 	1		219000	219			No
1/9/2015	15-Jan	SINGLE FAMILY	318  33RD AVE N 	2		210000	210			No
1/9/2015	15-Jan	SINGLE FAMILY	4502  IDAHO AVE 	2		270000	270			No
1/9/2015	15-Jan	SINGLE FAMILY	1025  SUMMIT AVE 	2		407500	407.5			No
1/9/2015	15-Jan	SINGLE FAMILY	2310  LINDELL AVE 	2		305500	305.5			No
1/9/2015	15-Jan	SINGLE FAMILY	742  VOSSWOOD DR 	2		1125000	1125			No
1/9/2015	15-Jan	SINGLE FAMILY	3716  SYCAMORE LN 	2		725000	725			No
1/9/2015	15-Jan	SINGLE FAMILY	608  SUMMIT OAKS CT 	2		334056	334.056			No
1/9/2015	15-Jan	SINGLE FAMILY	140  WINDSOR DR 	2		725000	725			No
1/9/2015	15-Jan	SINGLE FAMILY	28  BELCARO CIR 	2		425000	425			No
1/9/2015	15-Jan	SINGLE FAMILY	2001  LEEDS LN 	2		268680	268.68			No
1/9/2015	15-Jan	SINGLE FAMILY	7729  POPLAR RIDGE DR 	2		187500	187.5			No
1/9/2015	15-Jan	SINGLE FAMILY	4975  TYNE RIDGE CT 	2		645000	645			No
1/9/2015	15-Jan	SINGLE FAMILY	1729  UNDERWOOD ST 	3		47000	47			No
1/9/2015	15-Jan	SINGLE FAMILY	5602 A  KENTUCKY AVE 	3		316700	316.7			No
1/9/2015	15-Jan	SINGLE FAMILY	5316  INDIANA AVE 	3		125000	125			No
1/9/2015	15-Jan	SINGLE FAMILY	814  31ST AVE N 	3		12000	12			No
1/9/2015	15-Jan	SINGLE FAMILY	8140  BOONE TRCE 	3		195000	195			No
1/9/2015	15-Jan	SINGLE FAMILY	3225  CRISLYNNDALE DR 	5		75000	75			No
1/9/2015	15-Jan	SINGLE FAMILY	301  OAKVIEW DR 	5		117900	117.9			No
1/9/2015	15-Jan	SINGLE FAMILY	432  GATES RD 	6		118000	118			No
1/9/2015	15-Jan	SINGLE FAMILY	500  VANTREASE RD 	6		218000	218			No
1/9/2015	15-Jan	SINGLE FAMILY	1307  NEWMAN AVE 	6		135000	135			No
1/9/2015	15-Jan	SINGLE FAMILY	1404  LISCHEY AVE 	6		160000	160			No
1/9/2015	15-Jan	SINGLE FAMILY	1011  CAROLYN AVE 	6		299900	299.9			No
1/9/2015	15-Jan	SINGLE FAMILY	314  CHAPEL AVE 	6		375000	375			No
1/9/2015	15-Jan	SINGLE FAMILY	1705  EASTSIDE AVE 	6		446000	446			No
1/9/2015	15-Jan	SINGLE FAMILY	403  KEETON AVE 	7		112000	112			No
1/9/2015	15-Jan	SINGLE FAMILY	1608  AARONWOOD DR 	7		148000	148			No
1/9/2015	15-Jan	SINGLE FAMILY	2804  GLENOAKS DR 	7		245000	245			No
1/9/2015	15-Jan	SINGLE FAMILY	2550  HIBBITTS RD 	7		125000	125			No
1/9/2015	15-Jan	SINGLE FAMILY	625  COTTONWOOD DR 	7		63000	63			No
1/9/2015	15-Jan	SINGLE FAMILY	1624  ROBINDALE DR 	8		256300	256.3			No
1/9/2015	15-Jan	SINGLE FAMILY	732  FRODO LN 	8		194731	194.731			No
1/9/2015	15-Jan	SINGLE FAMILY	5157  PRESERVE BLVD 	8		137000	137			No
1/12/2015	15-Jan	SINGLE FAMILY	70  LYLE LN 	1		80000	80			No
1/12/2015	15-Jan	SINGLE FAMILY	148  COLEMONT CT 	1		122500	122.5			No
1/12/2015	15-Jan	SINGLE FAMILY	133  ROBERT YOEST DR 	1		90000	90			No
1/12/2015	15-Jan	SINGLE FAMILY	7037  OAK BROOK TER 	1		211000	211			No
1/12/2015	15-Jan	SINGLE FAMILY	4902  ELKINS AVE 	2		523500	523.5			No
1/12/2015	15-Jan	SINGLE FAMILY	744  RICHFIELD DR 	2		256000	256			No
1/12/2015	15-Jan	SINGLE FAMILY	839  DEWEES AVE 	2		280000	280			No
1/12/2015	15-Jan	SINGLE FAMILY	400  SHACKLEFORD CT 	2		864000	864			No
1/12/2015	15-Jan	SINGLE FAMILY	4369  CHICKERING LN 	2		1161085	1161.085			No
1/12/2015	15-Jan	SINGLE FAMILY	5510  TENNESSEE AVE 	3		138500	138.5			No
1/12/2015	15-Jan	SINGLE FAMILY	1415  ORDWAY PL 	6		220000	220			No
1/12/2015	15-Jan	SINGLE FAMILY	531  OLD LEBANON DIRT RD 	7		205000	205			No
1/12/2015	15-Jan	SINGLE FAMILY	817  GINA BROOKE CT 	7		110000	110			No
1/13/2015	15-Jan	SINGLE FAMILY	1980  CARLOSS DR 	1		86000	86			No
1/13/2015	15-Jan	SINGLE FAMILY	474  PARAGON MILLS RD 	1		116000	116			No
1/13/2015	15-Jan	SINGLE FAMILY	619  BAXTER LN 	1		293000	293			No
1/13/2015	15-Jan	SINGLE FAMILY	1819  LAUREL RIDGE DR 	2		1372050	1372.05			No
1/13/2015	15-Jan	SINGLE FAMILY	3175  BRIDGEPOINT DR 	4		199900	199.9			No
1/13/2015	15-Jan	SINGLE FAMILY	105  MAVELLA CT 	5		158000	158			No
1/13/2015	15-Jan	SINGLE FAMILY	109  WELSHWOOD CT 	6		135000	135			No
1/13/2015	15-Jan	SINGLE FAMILY	1320  GREENFIELD AVE 	6		229000	229			No
1/13/2015	15-Jan	SINGLE FAMILY	1701  EVELYN AVE 	6		175000	175			No
1/13/2015	15-Jan	SINGLE FAMILY	205  CLEVELAND ST 	6		170000	170			No
1/13/2015	15-Jan	SINGLE FAMILY	5177  ROXBOROUGH DR 	8		182500	182.5			No
1/13/2015	15-Jan	SINGLE FAMILY	1212  TWIN CIRCLE DR 	8		140000	140			No
1/13/2015	15-Jan	SINGLE FAMILY	1020  LONSWAY CIR 	8		110000	110			No
1/13/2015	15-Jan	SINGLE FAMILY	705  WINTER HAVEN CT 	8		121000	121			No
1/13/2015	15-Jan	SINGLE FAMILY	316  GROVEDALE TRCE 	8		170000	170			No
1/14/2015	15-Jan	SINGLE FAMILY	301  MCCALL ST 	1		151000	151			No
1/14/2015	15-Jan	SINGLE FAMILY	691  BREWER DR 	1		160000	160			No
1/14/2015	15-Jan	SINGLE FAMILY	1328  BARNES RD 	1		153000	153			No
1/14/2015	15-Jan	SINGLE FAMILY	6005  CANE SPRINGS RD 	1		192315	192.315			No
1/14/2015	15-Jan	SINGLE FAMILY	102  WYN OAK CIR 	2		700000	700			No
1/14/2015	15-Jan	SINGLE FAMILY	737  BENTON AVE 	2		815000	815			No
1/14/2015	15-Jan	SINGLE FAMILY	6116  ROBIN HILL RD 	2		480000	480			No
1/14/2015	15-Jan	SINGLE FAMILY	1917  HEREFORD LN 	2		249360	249.36			No
1/14/2015	15-Jan	SINGLE FAMILY	2110  CLIFF DR 	4		123333	123.333			No
1/14/2015	15-Jan	SINGLE FAMILY	3121  MOOREWOOD DR 	5		105000	105			No
1/14/2015	15-Jan	SINGLE FAMILY	1204  N 8TH ST 	6		336458	336.458			No
1/14/2015	15-Jan	SINGLE FAMILY	1932  UPLAND DR 	6		165000	165			No
1/14/2015	15-Jan	SINGLE FAMILY	1418  CALVIN AVE 	6		200000	200			No
1/14/2015	15-Jan	SINGLE FAMILY	137  SCENIC VIEW RD 	7		50000	50			No
1/14/2015	15-Jan	SINGLE FAMILY	2618  RIVER MEADE WAY 	7		142000	142			No
1/14/2015	15-Jan	SINGLE FAMILY	1204  FOWLER ST 	7		70983	70.983			No
1/14/2015	15-Jan	SINGLE FAMILY	4612  CONWAY CT 	7		129612	129.612			No
1/14/2015	15-Jan	SINGLE FAMILY	3113  RIVERS EDGE DR 	7		205000	205			No
1/14/2015	15-Jan	SINGLE FAMILY	1809  MEADOW CLF 	7		134400	134.4			No
1/14/2015	15-Jan	SINGLE FAMILY	5172  HIGHLANDER DR 	8		132000	132			No
1/15/2015	15-Jan	SINGLE FAMILY	2159  BYRUM AVE 	1		157500	157.5			No
1/15/2015	15-Jan	SINGLE FAMILY	233  NUNLEY DR 	1		125000	125			No
1/15/2015	15-Jan	SINGLE FAMILY	204  FLORA MAXWELL RD 	1		80000	80			No
1/15/2015	15-Jan	SINGLE FAMILY	609  TOBYLYNN DR 	1		177000	177			No
1/15/2015	15-Jan	SINGLE FAMILY	6009  BRADFORD HILLS DR 	1		190000	190			No
1/15/2015	15-Jan	SINGLE FAMILY	305  CODY HILL PL 	1		225000	225			No
1/15/2015	15-Jan	SINGLE FAMILY	208  SCARLET RIDGE CT 	1		241900	241.9			No
1/15/2015	15-Jan	SINGLE FAMILY	724  WESTCOTT LN 	1		252000	252			No
1/15/2015	15-Jan	SINGLE FAMILY	300  54TH AVE N 	2		450000	450			No
1/15/2015	15-Jan	SINGLE FAMILY	3906  VALLEY RD 	2		590000	590			No
1/15/2015	15-Jan	SINGLE FAMILY	1106  ARGYLE AVE 	2		479900	479.9			No
1/15/2015	15-Jan	SINGLE FAMILY	1901  HILLSIDE AVE 	2		325000	325			No
1/15/2015	15-Jan	SINGLE FAMILY	2110  11TH AVE S 	2		387600	387.6			No
1/15/2015	15-Jan	SINGLE FAMILY	6762  PENNYWELL DR 	2		330000	330			No
1/15/2015	15-Jan	SINGLE FAMILY	3611 WILBUR PL 	2		385000	385			No
1/15/2015	15-Jan	SINGLE FAMILY	4416  SUNNYBROOK DR 	2		1800000	1800			No
1/15/2015	15-Jan	SINGLE FAMILY	1804  WARFIELD DR 	2		332500	332.5			No
1/15/2015	15-Jan	SINGLE FAMILY	1328  DUNCANWOOD CT 	2		755000	755			No
1/15/2015	15-Jan	SINGLE FAMILY	747  GLOUCESTER LN 	2		237500	237.5			No
1/15/2015	15-Jan	SINGLE FAMILY	6328  WILLOW OAK DR 	2		249900	249.9			No
1/15/2015	15-Jan	SINGLE FAMILY	2212  14TH AVE N 	3		75000	75			No
1/15/2015	15-Jan	SINGLE FAMILY	1913  14TH AVE N 	3		60000	60			No
1/15/2015	15-Jan	SINGLE FAMILY	1722  24TH AVE N 	3		56000	56			No
1/15/2015	15-Jan	SINGLE FAMILY	5309  LOUISIANA AVE 	3		143000	143			No
1/15/2015	15-Jan	SINGLE FAMILY	4101  MEADOW HILL DR 	4		122500	122.5			No
1/15/2015	15-Jan	SINGLE FAMILY	111  DORCHESTER CT 	6		135000	135			No
1/15/2015	15-Jan	SINGLE FAMILY	913 C  MAPLEWOOD PL 	6		359900	359.9			No
1/15/2015	15-Jan	SINGLE FAMILY	4109  SAUNDERS AVE 	6		75000	75			No
1/15/2015	15-Jan	SINGLE FAMILY	1124  RIVERWOOD DR 	6		385000	385			No
1/15/2015	15-Jan	SINGLE FAMILY	923  N 5TH ST 	6		322000	322			No
1/15/2015	15-Jan	SINGLE FAMILY	619  N 5TH ST 	6		126000	126			No
1/15/2015	15-Jan	SINGLE FAMILY	928  RIVERSIDE DR 	6		120000	120			No
1/15/2015	15-Jan	SINGLE FAMILY	1605  ELECTRIC AVE 	6		157500	157.5			No
1/15/2015	15-Jan	SINGLE FAMILY	2222  WEONA DR 	7		129900	129.9			No
1/15/2015	15-Jan	SINGLE FAMILY	1124  JACKSONS VIEW RD 	7		159000	159			No
1/15/2015	15-Jan	SINGLE FAMILY	2905  HIGH RIGGER DR 	8		101500	101.5			No
1/15/2015	15-Jan	SINGLE FAMILY	3037  KINWOOD DR 	8		125800	125.8			No
1/15/2015	15-Jan	SINGLE FAMILY	312  SCHOOLHOUSE CT 	8		156000	156			No
1/15/2015	15-Jan	SINGLE FAMILY	617  CHESTWICK CT 	8		185900	185.9			No
1/15/2015	15-Jan	SINGLE FAMILY	6448  PADDINGTON WAY 	8		234900	234.9			No
1/15/2015	15-Jan	SINGLE FAMILY	1429  ROCKGLADE RUN 	8		160000	160			No
1/16/2015	15-Jan	SINGLE FAMILY	2907  WINGATE AVE 	1		160000	160			No
1/16/2015	15-Jan	SINGLE FAMILY	513  DRAKE AVE 	1		45000	45			No
1/16/2015	15-Jan	SINGLE FAMILY	222  RAYMOND ST 	1		75000	75			No
1/16/2015	15-Jan	SINGLE FAMILY	5046  CHERRYWOOD DR 	1		171000	171			No
1/16/2015	15-Jan	SINGLE FAMILY	4128  COLERIDGE DR 	1		157000	157			No
1/16/2015	15-Jan	SINGLE FAMILY	717  N WICKSHIRE WAY 	1		335000	335			No
1/16/2015	15-Jan	SINGLE FAMILY	5304  RIDGEFALLS WAY 	1		195000	195			No
1/16/2015	15-Jan	SINGLE FAMILY	5566  OAK CHASE DR 	1		206000	206			No
1/16/2015	15-Jan	SINGLE FAMILY	8508  LAWSON DR 	1		162022	162.022			No
1/16/2015	15-Jan	SINGLE FAMILY	7101  SMOKEY HILL RD 	1		233000	233			No
1/16/2015	15-Jan	SINGLE FAMILY	9136  MACAULEY LN 	1		301925	301.925			No
1/16/2015	15-Jan	SINGLE FAMILY	1220  DAVIDSON RD 	2		247000	247			No
1/16/2015	15-Jan	SINGLE FAMILY	3610  PILCHER AVE 	2		645010	645.01			No
1/16/2015	15-Jan	SINGLE FAMILY	306  JACKSON BLVD 	2		660000	660			No
1/16/2015	15-Jan	SINGLE FAMILY	808  HUNTWOOD PL 	2		294000	294			No
1/16/2015	15-Jan	SINGLE FAMILY	106  LASALLE CT 	2		685000	685			No
1/16/2015	15-Jan	SINGLE FAMILY	4633  BENTON SMITH RD 	2		405000	405			No
1/16/2015	15-Jan	SINGLE FAMILY	1260  SCARCROFT LN 	2		227900	227.9			No
1/16/2015	15-Jan	SINGLE FAMILY	2904  GLENWAY DR 	2		258500	258.5			No
1/16/2015	15-Jan	SINGLE FAMILY	8445  INDIAN HILLS DR 	2		324900	324.9			No
1/16/2015	15-Jan	SINGLE FAMILY	2137  12TH AVE N 	3		42500	42.5			No
1/16/2015	15-Jan	SINGLE FAMILY	2016  24TH AVE N 	3		83700	83.7			No
1/16/2015	15-Jan	SINGLE FAMILY	6017  NEW YORK AVE 	3		129000	129			No
1/16/2015	15-Jan	SINGLE FAMILY	6015  NEW YORK AVE 	3		129000	129			No
1/16/2015	15-Jan	SINGLE FAMILY	212  DEER PT 	3		198991	198.991			No
1/16/2015	15-Jan	SINGLE FAMILY	1508  EMERALD BAY BLVD 	4		127500	127.5			No
1/16/2015	15-Jan	SINGLE FAMILY	361  JANETTE AVE 	6		125000	125			No
1/16/2015	15-Jan	SINGLE FAMILY	545  HERITAGE LN 	6		116000	116			No
1/16/2015	15-Jan	SINGLE FAMILY	301  E MARTHONA RD 	6		145000	145			No
1/16/2015	15-Jan	SINGLE FAMILY	207 A  NIX DR 	6		72000	72			No
1/16/2015	15-Jan	SINGLE FAMILY	221  MAPLE ST 	6		53000	53			No
1/16/2015	15-Jan	SINGLE FAMILY	1214  LISCHEY AVE 	6		138000	138			No
1/16/2015	15-Jan	SINGLE FAMILY	1209 B  N 8TH ST 	6		100000	100			No
1/16/2015	15-Jan	SINGLE FAMILY	1424  MCGAVOCK PIKE 	6		285000	285			No
1/16/2015	15-Jan	SINGLE FAMILY	1014  GRANADA AVE 	6		132200	132.2			No
1/16/2015	15-Jan	SINGLE FAMILY	3712  CRESTON CT 	7		175500	175.5			No
1/16/2015	15-Jan	SINGLE FAMILY	2130  JADE DR 	7		169900	169.9			No
1/16/2015	15-Jan	SINGLE FAMILY	1005  WEMBERTON PL 	8		253000	253			No
1/16/2015	15-Jan	SINGLE FAMILY	508  VINSON DR 	8		134000	134			No
1/16/2015	15-Jan	SINGLE FAMILY	1235  CURREY RD 	8		90000	90			No
1/16/2015	15-Jan	SINGLE FAMILY	828  ROCKY MOUNTAIN PKWY 	8		137000	137			No
1/16/2015	15-Jan	SINGLE FAMILY	701  DOVER GLEN DR 	8		175395	175.395			No
1/16/2015	15-Jan	SINGLE FAMILY	113  TOOK DR 	8		198000	198			No
1/16/2015	15-Jan	SINGLE FAMILY	317  GROVEDALE TRCE 	8		201230	201.23			No
1/16/2015	15-Jan	SINGLE FAMILY	105  SHAGBARK CT 	8		178475	178.475			No
1/17/2015	15-Jan	SINGLE FAMILY	7177  HOLT RUN DR 	1		356500	356.5			No
1/19/2015	15-Jan	SINGLE FAMILY	4673  FANNING DR 	8		85000	85			No
1/19/2015	15-Jan	SINGLE FAMILY	1520  BRIDGECREST DR 	8		165000	165			No
1/20/2015	15-Jan	SINGLE FAMILY	3714  TIBBS DR 	1		135000	135			No
1/20/2015	15-Jan	SINGLE FAMILY	697  HARDING PL 	1		232000	232			No
1/20/2015	15-Jan	SINGLE FAMILY	7218  ALTHORP WAY 	1		175000	175			No
1/20/2015	15-Jan	SINGLE FAMILY	5641  DEER VALLEY TRL 	1		229400	229.4			No
1/20/2015	15-Jan	SINGLE FAMILY	7201  SMOKEY HILL RD 	1		250000	250			No
