Zone	Parcel ID	Land Use	Property Address	Suite/ Condo   #	Property City	Sale Date	Sale Month	Month	Sale Day	sale year	date	value	Sale Group	Legal Reference	Sold As Vacant	Multiple Parcels Involved in Sale
2	159 00 0 256.00	SINGLE FAMILY	9  AGINCOURT WAY		BRENTWOOD	1/2/2015	1	Jan	2	2015	1/2/2015	1550000		20150105-0000973	No	No
3	091 12 0 002.00	SINGLE FAMILY	4606  ILLINOIS AVE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	270120		20150105-0001013	No	No
3	091 14 0 016.00	SINGLE FAMILY	44  TWIN ST		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	60000		20150105-0000802	No	No
3	126 15 0B 191.00	SINGLE FAMILY	8257  BOONE TRCE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	190000		20150106-0001302	No	No
4	080 07 0 123.00	SINGLE FAMILY	3305  COCOA DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	67000		20150106-0001400	No	No
5	050 06 0 078.00	SINGLE FAMILY	3809  NORTHBROOK DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	126200		20150108-0002150	No	No
6	072 08 0 107.00	SINGLE FAMILY	2221  THISTLEWOOD AVE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	143000		20150109-0002345	No	No
6	083 02 0 177.00	SINGLE FAMILY	1603  DOUGLAS AVE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	301640		20150107-0001765	No	No
7	053 03 0 057.00	SINGLE FAMILY	1207  CLARKE ST		OLD HICKORY	1/2/2015	1	Jan	2	2015	1/2/2015	164000		20150105-0001016	No	No
7	064 09 0A 037.00	RESIDENTIAL CONDO	4414  S TRACE BLVD		OLD HICKORY	1/2/2015	1	Jan	2	2015	1/2/2015	112500		20150107-0001604	No	No
7	064 13 0B 079.00	RESIDENTIAL CONDO	705  LAUREL HILL DR		OLD HICKORY	1/2/2015	1	Jan	2	2015	1/2/2015	99500		20150106-0001250	No	No
7	075 08 0 172.00	SINGLE FAMILY	699  FRANKFORT DR		HERMITAGE	1/2/2015	1	Jan	2	2015	1/2/2015	170000		20150106-0001276	No	No
7	087 09 0 008.00	SINGLE FAMILY	4324  VALLEY GROVE DR		HERMITAGE	1/2/2015	1	Jan	2	2015	1/2/2015	127000		20150105-0000786	No	No
7	087 09 0 095.00	SINGLE FAMILY	6186  N NEW HOPE RD		HERMITAGE	1/2/2015	1	Jan	2	2015	1/2/2015	203000		20150109-0002539	No	No
8	098 06 0B 119.00	RESIDENTIAL CONDO	1146  CHICKADEE CIR		HERMITAGE	1/2/2015	1	Jan	2	2015	1/2/2015	302294		20150105-0000794	No	No
8	119 12 0 054.00	SINGLE FAMILY	815  CARLYLE PL		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	90000		20150106-0001238	No	No
8	122 01 0A 361.00	RESIDENTIAL CONDO	231  BUCK RUN DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	121000		20150116-0004682	No	No
8	150 14 0A 058.00	SINGLE FAMILY	3929  CALUMET DR		ANTIOCH	1/2/2015	1	Jan	2	2015	1/2/2015	136500		20150105-0000842	No	No
9	081 16 0 559.00	SINGLE FAMILY	1019  11TH AVE N		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	95000		20150107-0001545	Yes	No
9	082 09 0P 106.00	RESIDENTIAL CONDO	500  MADISON ST	106	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	286995		20150120-0005637	No	No
9	093 09 0C 130.00	RESIDENTIAL CONDO	1212  LAUREL ST	1213	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	516550		20150105-0001007	No	No
9	093 09 0C 134.00	RESIDENTIAL CONDO	1212  LAUREL ST	1302	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	798000		20150105-0001017	No	No
9	093 09 0C 164.00	RESIDENTIAL CONDO	1212  LAUREL ST	1502	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	810000		20150102-0000449	No	No
9	093 09 0C 181.00	RESIDENTIAL CONDO	1212  LAUREL ST	1604	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	659570		20150105-0001018	No	No
9	093 09 0C 190.00	RESIDENTIAL CONDO	1212  LAUREL ST	1613	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	536000		20150105-0001005	No	No
9	093 09 0C 289.00	RESIDENTIAL CONDO	1212  LAUREL ST	2307	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	1349130		20150127-0007830	No	No
8	163 11 0E 019.00	RESIDENTIAL CONDO	2950  BABY RUTH LN	19	ANTIOCH	1/3/2015	1	Jan	3	2015	1/3/2015	109900		20150108-0002081	No	No
3	091 07 0 234.00	SINGLE FAMILY	4913  KENTUCKY AVE		NASHVILLE	1/4/2015	1	Jan	4	2015	1/4/2015	200000		20150209-0011756	No	No
1	161 10 0A 171.00	SINGLE FAMILY	5148  VILLAGE TRCE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	164900		20150107-0001620	No	No
1	162 09 0B 024.00	RESIDENTIAL CONDO	5600  COUNTRY DR	109	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	110000		20150107-0001763	No	No
1	171 03 0A 092.00	SINGLE FAMILY	4736  POTOMAC LN		BRENTWOOD	1/5/2015	1	Jan	5	2015	1/5/2015	315000		20150114-0004002	No	No
1	172 12 0B 329.00	SINGLE FAMILY	3201  COBBLE ST		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	230000		20150105-0001036	No	No
1	172 12 0D 021.00	RESIDENTIAL CONDO	7003  LENOX VILLAGE DR	11	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	126900		20150108-0002309	No	No
1	172 13 0A 049.00	SINGLE FAMILY	205  NEWTON NOOK		BRENTWOOD	1/5/2015	1	Jan	5	2015	1/5/2015	356500		20150106-0001280	No	No
1	173 06 0B 051.00	SINGLE FAMILY	2313  SOMERSET VALLEY DR		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	229000		20150108-0002084	No	No
1	181 03 0A 121.00	SINGLE FAMILY	6996  CALDERWOOD DR		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	208250		20150108-0001996	No	No
2	105 14 0 183.00	SINGLE FAMILY	827 HILLVIEW HTS		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	339500		20150106-0001452	No	No
2	118 02 0 170.00	SINGLE FAMILY	824  KIRKWOOD AVE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	615000		20150107-0001574	No	No
2	118 02 0V 002.00	RESIDENTIAL CONDO	2804 B  VAULX LN		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	535000		20150108-0002296	No	No
2	128 13 0A 207.00	RESIDENTIAL CONDO	207  WESTFIELD DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	116000		20150107-0001622	No	No
2	129 02 0 017.00	SINGLE FAMILY	6521  JOCELYN HOLLOW RD		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	539000		20150108-0002106	No	No
2	129 14 0A 013.00	RESIDENTIAL CONDO	6666  BROOKMONT TER	205	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	86000		20150107-0001667	No	No
2	142 09 0B 821.00	RESIDENTIAL CONDO	821  GENERAL GEORGE PATTON RD		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	224400		20150107-0001615	No	No
2	156 05 0 006.00	SINGLE FAMILY	1001  BEECH BEND DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	189000		20150107-0001746	No	No
3	091 01 0A 008.00	SINGLE FAMILY	693  PARK ST		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	209000		20150107-0001808	No	No
3	091 02 0 202.00	SINGLE FAMILY	6015 CALIFORNIA AVE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	130000		20150106-0001380	Yes	No
3	091 02 0 203.00	SINGLE FAMILY	6013 CALIFORNIA AVE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	130000		20150106-0001375	Yes	No
3	091 06 0 202.00	SINGLE FAMILY	5510  PENNSYLVANIA AVE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	80000		20150107-0001587	No	No
3	114 08 0C 038.00	RESIDENTIAL CONDO	7277  CHARLOTTE PIKE	208	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	179000		20150114-0004064	No	No
3	126 16 0A 285.00	SINGLE FAMILY	7529  WATERVALE DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	285000		20150108-0002137	No	No
5	041 03 0 039.00	SINGLE FAMILY	1204  CREST MONT CT		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	274000		20150106-0001284	No	No
5	050 02 0A 077.00	SINGLE FAMILY	3795  WILLOW CREEK RD		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	152500		20150112-0003215	No	No
6	043 05 0 237.00	SINGLE FAMILY	707  DELAWARE AVE		MADISON	1/5/2015	1	Jan	5	2015	1/5/2015	120000		20150109-0002487	No	No
6	052 02 0 103.00	SINGLE FAMILY	718  CARMEL AVE		MADISON	1/5/2015	1	Jan	5	2015	1/5/2015	55000		20150106-0001161	No	No
6	060 12 0 031.00	SINGLE FAMILY	2911  MORNINGSIDE DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	140000		20150109-0002348	No	No
6	063 02 0 047.00	SINGLE FAMILY	1517  MOHAWK TRL		MADISON	1/5/2015	1	Jan	5	2015	1/5/2015	110000		20150108-0001957	No	No
6	072 16 0 198.00	SINGLE FAMILY	1519  WAYNE DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	167500		20150112-0002776	Yes	No
6	073 05 0 055.00	SINGLE FAMILY	1905  DEMARIUS DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	207500		20150107-0001644	No	No
6	082 12 0A 308.00	RESIDENTIAL CONDO	926  WOODLAND ST	308	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	193000		20150107-0001863	No	No
6	083 04 0 286.00	SINGLE FAMILY	1415  PRESTON DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	154500		20150105-0001026	No	No
6	083 09 0 301.00	SINGLE FAMILY	1414  ORDWAY PL		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	270580		20150107-0001842	No	No
6	093 04 0 085.00	SINGLE FAMILY	1003  DEW ST		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	375000		20150108-0002109	No	No
7	062 02 0B 235.00	SINGLE FAMILY	4529  HAWTHORN DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	200000		20150212-0012984	No	No
7	062 09 0 068.00	SINGLE FAMILY	2219  PENNINGTON BEND RD		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	332613		20150106-0001403	No	No
7	064 12 0A 132.00	RESIDENTIAL CONDO	132  SADDLE TREE CT		HERMITAGE	1/5/2015	1	Jan	5	2015	1/5/2015	107000		20150108-0002174	No	No
7	064 15 0A 064.00	SINGLE FAMILY	4108  MEADOWGREEN DR		OLD HICKORY	1/5/2015	1	Jan	5	2015	1/5/2015	169000		20150109-0002540	No	No
7	064 16 0A 139.00	RESIDENTIAL CONDO	139  GENERAL JACKSON LN	2	HERMITAGE	1/5/2015	1	Jan	5	2015	1/5/2015	82500		20150114-0003930	No	No
7	073 16 0A 213.00	RESIDENTIAL CONDO	213  CUMBERLAND TRCE		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	115000		20150107-0001658	No	No
7	095 02 0A 231.00	RESIDENTIAL CONDO	231  COTTAGE PL		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	124900		20150106-0001214	No	No
7	096 09 0 041.00	SINGLE FAMILY	404  LORNA DR		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	132000		20150109-0002524	No	No
8	135 08 0A 639.00	RESIDENTIAL CONDO	639  LONGHUNTER CT		NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	68000		20150106-0001317	No	No
8	149 07 0B 052.00	SINGLE FAMILY	1212  CANYON RIDGE CT		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	172940		20150107-0001845	No	No
8	149 10 0 069.00	SINGLE FAMILY	5128  PEBBLE CREEK DR		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	157000		20150107-0001699	No	No
8	150 16 0A 046.00	SINGLE FAMILY	2704  WINDCREST TRL		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	154000		20150107-0001735	No	No
8	164 10 0A 019.00	SINGLE FAMILY	4121  PINEORCHARD PL		ANTIOCH	1/5/2015	1	Jan	5	2015	1/5/2015	172000		20150106-0001246	No	No
9	082 09 0P 105.00	RESIDENTIAL CONDO	500  MADISON ST	105	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	200000		20150107-0001560	No	No
9	093 02 4A 107.00	RESIDENTIAL CONDO	178  2ND AVE N	107	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	275000		20150109-0002631	No	No
9	093 06 0A 171.00	RESIDENTIAL CONDO	301  DEMONBREUN ST	1216	NASHVILLE	1/5/2015	1	Jan	5	2015	1/5/2015	463000		20150109-0002652	No	No
1	119 01 0 267.00	SINGLE FAMILY	114  ROSE ST		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	183572		20150112-0002939	No	No
1	133 11 0 155.00	SINGLE FAMILY	3808  BUNNY DR		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	138000		20150127-0007610	No	No
1	160 00 0 071.00	SINGLE FAMILY	5622  VALLEY VIEW RD		BRENTWOOD	1/6/2015	1	Jan	6	2015	1/6/2015	323500		20150120-0005537	No	No
1	161 02 0 152.00	SINGLE FAMILY	5108  META CT		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	204000		20150108-0001869	No	No
1	162 03 0 187.00	SINGLE FAMILY	4951  KAREN RAY DR		ANTIOCH	1/6/2015	1	Jan	6	2015	1/6/2015	127900		20150116-0004661	No	No
1	180 02 0A 079.00	SINGLE FAMILY	1505  SIMPSON CT		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	378000		20150113-0003359	No	No
2	103 10 0 115.00	SINGLE FAMILY	804  NEARTOP DR		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	290000		20150109-0002624	No	No
3	091 06 0 299.00	SINGLE FAMILY	5608  KENTUCKY AVE		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	85000		20150114-0003795	No	No
3	091 07 0 004.00	SINGLE FAMILY	5308  PENNSYLVANIA AVE		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	137500		20150107-0001721	No	No
3	126 16 0A 229.00	SINGLE FAMILY	7045  BRIDGEPORT DR		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	225000		20150108-0002204	No	No
3	126 16 0A 581.00	SINGLE FAMILY	7336  RIVERFRONT DR		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	330000		20150107-0001665	No	No
6	052 03 0 105.00	DUPLEX	612  CENTER ST		MADISON	1/6/2015	1	Jan	6	2015	1/6/2015	30000		20150108-0002064	No	No
6	052 06 0 037.00	SINGLE FAMILY	816  BERWICK TRL		MADISON	1/6/2015	1	Jan	6	2015	1/6/2015	280000		20150108-0002059	No	No
6	083 01 0 063.00	SINGLE FAMILY	917  SHARPE AVE		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	95252		20150109-0002344	No	No
7	095 12 0 182.00	SINGLE FAMILY	2636  HIBBITTS RD		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	151965		20150109-0002536	No	No
7	096 09 0 087.00	SINGLE FAMILY	2715  LAKELAND DR		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	150000		20150120-0005334	No	No
8	096 16 0 205.00	SINGLE FAMILY	763  FITZPATRICK RD		NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	265000		20150113-0003463	No	No
8	150 15 0B 004.00	SINGLE FAMILY	308  SCHOOLHOUSE CT		ANTIOCH	1/6/2015	1	Jan	6	2015	1/6/2015	161000		20150112-0003278	No	No
8	150 15 0B 019.00	SINGLE FAMILY	309  SCHOOLHOUSE CT		ANTIOCH	1/6/2015	1	Jan	6	2015	1/6/2015	137000		20150112-0003277	No	No
9	093 09 0C 114.00	RESIDENTIAL CONDO	1212  LAUREL ST	1112	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	306091		20150108-0002305	No	No
9	093 09 0C 133.00	RESIDENTIAL CONDO	1212  LAUREL ST	1301	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	1018187		20150107-0001852	No	No
9	093 09 0C 144.00	RESIDENTIAL CONDO	1212  LAUREL ST	1312	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	299199		20150107-0001840	No	No
9	093 09 0C 145.00	RESIDENTIAL CONDO	1212  LAUREL ST	1313	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	530420		20150107-0001855	No	No
9	093 09 0C 147.00	RESIDENTIAL CONDO	1212  LAUREL ST	1315	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	568000		20150107-0001853	No	No
9	093 09 0C 178.00	RESIDENTIAL CONDO	1212  LAUREL ST	1601	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	1016000		20150107-0001857	No	No
9	093 09 0C 193.00	RESIDENTIAL CONDO	1212  LAUREL ST	1701	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	1036660		20150107-0001850	No	No
9	093 13 0C 272.00	RESIDENTIAL CONDO	600  12TH AVE S	1403	NASHVILLE	1/6/2015	1	Jan	6	2015	1/6/2015	364000		20150121-0005959	No	No
1	161 06 0A 190.00	RESIDENTIAL CONDO	1346  CROWN POINT PL		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	195000		20150108-0002062	No	No
1	171 03 0A 029.00	SINGLE FAMILY	104  PAXTON CT		BRENTWOOD	1/7/2015	1	Jan	7	2015	1/7/2015	390000		20150112-0002754	No	No
1	171 04 0C 020.00	RESIDENTIAL CONDO	1002  GROVE CT		BRENTWOOD	1/7/2015	1	Jan	7	2015	1/7/2015	260000		20150108-0002098	No	No
1	172 16 0A 010.00	RESIDENTIAL CONDO	3718  SHANE POINT PL		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	196000		20150112-0003190	No	No
1	173 10 0A 086.00	SINGLE FAMILY	6447  SUNNYWOOD DR		ANTIOCH	1/7/2015	1	Jan	7	2015	1/7/2015	215000		20150109-0002545	No	No
1	182 01 0A 151.00	SINGLE FAMILY	960  MORNING RD		ANTIOCH	1/7/2015	1	Jan	7	2015	1/7/2015	217272		20150116-0004571	No	No
2	104 05 0 071.00	SINGLE FAMILY	3502  HILLSDALE AVE		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	285000		20150112-0003139	No	No
2	104 15 0 343.00	SINGLE FAMILY	2114  WESTWOOD AVE		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	560000		20150108-0002242	No	No
2	130 12 0A 054.00	SINGLE FAMILY	10  INVERARAY		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	1750000		20150109-0002595	No	No
3	081 02 0 084.00	SINGLE FAMILY	1732  KELLOW ST		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	43000		20150116-0004652	No	No
3	081 11 0 472.00	SINGLE FAMILY	1713  11TH AVE N		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	249900		20150108-0002207	No	No
4	070 03 0 022.00	SINGLE FAMILY	2488  WALKER LN		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	265000		20150112-0003284	No	No
6	042 03 0 107.00	SINGLE FAMILY	108  GRAYCROFT CT		MADISON	1/7/2015	1	Jan	7	2015	1/7/2015	185000		20150109-0002445	No	No
6	043 13 0 258.00	DUPLEX	221  HARRIS ST		MADISON	1/7/2015	1	Jan	7	2015	1/7/2015	75000		20150109-0002497	No	No
6	052 09 0 061.00	SINGLE FAMILY	421  DUE WEST AVE		MADISON	1/7/2015	1	Jan	7	2015	1/7/2015	198500		20150130-0008876	No	No
6	071 11 0 259.00	SINGLE FAMILY	1423  STAINBACK AVE		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	70700		20150108-0002300	No	No
6	073 01 0 059.00	SINGLE FAMILY	1713  RIVERWOOD DR		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	192875		20150109-0002564	No	No
6	082 03 0 027.00	SINGLE FAMILY	1010  JOSEPH AVE		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	167500		20150108-0002238	No	No
6	082 03 0 107.00	DUPLEX	1118  N 2ND ST		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	107000		20150121-0005991	No	No
6	083 06 0 376.00	SINGLE FAMILY	500  N 18TH ST		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	439000		20150121-0005984	No	No
6	083 13 0 286.00	SINGLE FAMILY	1404  RUSSELL ST		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	265000		20150112-0002974	No	No
7	063 16 0A 045.00	SINGLE FAMILY	660  GRANWOOD BLVD		OLD HICKORY	1/7/2015	1	Jan	7	2015	1/7/2015	165000		20150112-0002863	No	No
7	063 16 0C 059.00	RESIDENTIAL CONDO	5200  SOUTHFORK BLVD		OLD HICKORY	1/7/2015	1	Jan	7	2015	1/7/2015	152000		20150109-0002370	No	No
7	075 07 0 055.00	SINGLE FAMILY	622  DES MOINES DR		HERMITAGE	1/7/2015	1	Jan	7	2015	1/7/2015	134943		20150109-0002534	No	No
7	075 09 0 109.00	SINGLE FAMILY	3905  BONNAVISTA DR		HERMITAGE	1/7/2015	1	Jan	7	2015	1/7/2015	143000		20150115-0004375	No	No
7	084 10 0 015.00	SINGLE FAMILY	2206  WEONA DR		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	122000		20150109-0002531	No	No
7	086 14 0B 086.00	SINGLE FAMILY	2733  FLEET DR		HERMITAGE	1/7/2015	1	Jan	7	2015	1/7/2015	179900		20150112-0003045	No	No
8	098 06 0A 099.00	SINGLE FAMILY	2205  BUTTONQUAIL CT		HERMITAGE	1/7/2015	1	Jan	7	2015	1/7/2015	227000		20150112-0002931	No	No
8	108 07 0B 032.00	RESIDENTIAL CONDO	137  N TIMBER DR		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	90000		20150108-0002298	No	No
8	135 12 0B 051.00	RESIDENTIAL CONDO	2058  NASHBORO BLVD		NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	124500		20150112-0003141	No	No
8	176 05 0 078.00	SINGLE FAMILY	4833  HICKORY WAY		ANTIOCH	1/7/2015	1	Jan	7	2015	1/7/2015	150000		20150109-0002448	No	No
9	081 12 0T 246.00	RESIDENTIAL CONDO	1350  ROSA L PARKS BLVD	246	NASHVILLE	1/7/2015	1	Jan	7	2015	1/7/2015	145000		20150112-0002967	No	No
1	147 12 0A 120.00	RESIDENTIAL CONDO	120  NORTHCREST COMMONS CIR		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	148750		20150109-0002450	No	No
1	161 13 0B 337.00	RESIDENTIAL CONDO	337  SHADY CREEK LN		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	250000		20150109-0002678	No	No
1	172 03 0B 065.00	SINGLE FAMILY	653  MAGNOLIA LN		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	255000		20150115-0004365	No	No
1	173 09 0A 651.00	SINGLE FAMILY	4346  BARNES COVE DR		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	187000		20150113-0003548	No	No
2	105 01 0 624.00	SINGLE FAMILY	940  ARCHER ST		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	214000		20150114-0003977	No	No
2	118 02 0R 001.00	RESIDENTIAL CONDO	824 A  HORNER AVE		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	550000		20150109-0002706	No	No
2	131 08 0N 001.00	RESIDENTIAL CONDO	4412  FARRISWOOD DR		NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	688800		20150112-0002817	No	No
2	142 06 0B 301.00	RESIDENTIAL CONDO	810  BELLEVUE RD	301	NASHVILLE	1/8/2015	1	Jan	8	2015	1/8/2015	80995		20150112-0003017	No	No
